website,date of discovery or report,date,city,STATE,source,reported phenomenon other than swastika,target,target.1,reported phenomenon other than swastika 2,reported phenomenon other than swastika 3,accompanying text,accompanying visual signs,Nazi Reference,media,place,category of place,structure,url_to_jpg,latitude,longitude,Address Found,month,year
http://wjla.com/news/local/nineteenth-century-african-american-school-vandalized-with-swastikas-other-vulgar-images,9/30/16,Sep-2016,Ashburn,VA,Local News,vandalism,Black American Community,LGBTQ,graffiti,,White-Power,male genitalia,No,paint,historic school,abandoned structure,exterior urban wall,https://wjla.com/news/local/gallery/nineteenth-century-african-american-school-vandalized-with-swastikas-other-vulgar-images#photo-1,39.04276657,-77.48581696,"Ashburn, VA",Sep,2016
https://www.bostonglobe.com/metro/2016/11/20/swastika-found-shuttered-billerica-school-building/jrBLxTVvCRzv3u4tw8WHFO/story.html,11/18/16,Nov-2016,Billerica,MA,Local News,graffiti,,,,,,Star of David,No,paint,historic elementary school,abandoned structure,exterior urban wall,http://extras.mnginteractive.com/live/media/site105/2016/1120/20161120_054722_swastika_300.jpg,42.56367111,-71.27111816,"Billerica, MA",Nov,2016
https://www.nj.com/mercer/2017/03/swastika_painted_over_puerto_rican_flag_mural.html,2/25/17,Feb-2017,Trenton,NJ,Local News,none,Non-White,,,,,,no,paint,urban street,abandoned structure,exterior door,http://image.nj.com/home/njo-media/width620/img/centraljersey_impact/photo/22205991-mmmain.jpg,40.22057343,-74.75971222,"Trenton, NJ",Feb,2017
https://www.theguardian.com/artanddesign/2017/aug/30/richard-misrach-best-photograph-swastika-california-desert-interview,8/30/17,Aug-2017,Barstow,CA,National News,none,,,,,,,no,paint,abandoned building,abandoned structure,interior wall,https://s3-eu-west-1.amazonaws.com/uploads-origin.guim.co.uk/2017/08/30/Richard_Misrach.jpg,34.89880371,-117.02719879,"Barstow, CA",Aug,2017
https://www.dallasnews.com/news/crime/2020/10/28/law-enforcement-investigating-after-large-swastika-spray-painted-on-dallas-city-garage/,10/26/2020,Oct-2020,Dallas,TX,Local News,none,,,,,Rise-Up!-We-are-Everywhere!,,no,paint,abandoned parking garage,abandoned structure,exterior urban wall,https://pbs.twimg.com/media/ElHv185X0AIOSUw?format=jpg&name=medium,32.77797699,-96.79621124,"Dallas, TX",Oct,2020
https://www.heraldnews.com/news/20190318/jewish-cemetery-gravestones-defaced-with-swastikas-antisemitic-messages,3/8/2019,Mar-2019,Fall River,MA,Local News,graffiti,Jewish Community,Black American Community,,,"Heil-Hitler, Expel-the-Jews, Hitler-was-Right-Oy-vey! This-is-MAGA-country, Day-of-the-Rope",,yes,ink,cemetary,cemetary,gravestone,,41.7010231,-71.15538788,"Fall River, MA",Mar,2019
https://nonpareilonline.com/news/crime/vandals-paint-swastikas-damage-property-at-garner-cemetery/article_8878b022-99a8-11e8-a261-6f63ff8095a1.html,8/4/18,Aug-2018,Council Bluffs,IA,Local News,vandalism,,,hate-symbol,,,,no,paint,cemetary,cemetary,pathway,https://bloximages.chicago2.vip.townnews.com/nonpareilonline.com/content/tncms/assets/v3/editorial/a/a3/aa38628e-99a8-11e8-a9c8-87d3057df392/5b6897187742f.image.jpg?resize=1263%2C947,41.25896454,-95.85436249,"Council Bluffs, IA",Aug,2018
https://www.providencejournal.com/story/news/coronavirus/2020/06/23/police-identify-man-charged-with-painting-swastikas-on-pc-campus-gravestones/113732686/,6/22/20,Jun-2020,Providence,RI,Local News,none,,,,,,,no,paint,cemetary,cemetary,gravestone,https://www.gannett-cdn.com/-mm-/573c6b84efd4edd43dd310d508e33aa8bfb8234d/c=0-378-4032-2646/local/-/media/2020/09/09/Providence/ghows-PJ-200629879-1d627980.jpg?width=1320&height=744&fit=crop&format=pjpg&auto=webp,41.82446289,-71.41275024,"Providence, RI",Jun,2020
http://www.dailykos.com/story/2017/4/11/1652216/-Graves-of-Arizona-farm-workers-vandalized-with-swastikas-racist-slurs,4/11/17,Apr-2017,Avondale,AZ,National News,vandalism,Latinx Community,,hate-crime,,Wetback,,no,paint,cemetary,cemetary,gravestone,https://images.dailykos.com/images/387995/story_image/Screen_Shot_2017-04-07_at_2.06.58_PM.png?1491928486,33.43534088,-112.34967041,"Avondale, AZ",Apr,2017
http://thehill.com/blogs/blog-briefing-room/news/389530-over-200-gravestones-spray-painted-with-swastikas-ahead-of,5/27/18,May-2018,Glen Carbon,IL,National News,vandalism,,,,,,,no,paint,cemetary,cemetary,gravestone,https://thenypost.files.wordpress.com/2018/05/180529-swastika-clean-up-cemetery-02.jpg?quality=90&strip=all&w=1324,38.74939346,-89.98052979,"Glen Carbon, IL",May,2018
https://www.elpasotimes.com/story/news/2018/06/25/jewish-cemetery-concordia-cemetery-el-paso-vandalized/731044002/,6/24/18,Jun-2018,El Paso,TX,Local News,antisemitic-message,Jewish Community,,,,,,yes,paint,cemetary,cemetary,gravestone,https://www.gannett-cdn.com/-mm-/cc9b9306bcc485f7742aa512591c882360204bab/c=5-0-4027-3024/local/-/media/2018/06/25/TXNMGroup/ElPaso/636655315696632286-IMG-4833.JPG?width=540&height=405&fit=crop,31.76010704,-106.49229431,"El Paso, TX",Jun,2018
https://www.thestate.com/news/state/south-carolina/article233611122.html,8/4/19,Aug-2019,Chesnee,SC,Local News,Nazi-symbol,,,vandalism,,Satan,,no,paint,cemetary,cemetary,tree,https://bloximages.newyork1.vip.townnews.com/foxcarolina.com/content/tncms/assets/v3/editorial/9/19/9197bee8-b85e-11e9-ad15-afa0f6eef9f2/5d499c4ba5777.image.jpg?resize=1280%2C720,35.14866257,-81.86237335,"Chesnee, SC",Aug,2019
https://www.timesofisrael.com/swastikas-drawn-on-street-in-front-of-new-orleans-jewish-cemetery/,6/5/20,Jun-2020,New Orleans,LA,Religious Journal,graffiti,Jewish Community,,,,,,no,paint,urban street,cemetary,street ,,29.95176315,-90.07461548,"New Orleans, LA",Jun,2020
https://www.cleveland.com/news/2020/11/police-investigate-swastika-other-vandalism-at-jewish-cemetery-in-cleveland.html,11/16/20,Nov-2020,Cleveland,OH,Local News,vandalism,Jewish Community,,incident-of-antisemitism,,Jewish,,no,paint,Jewish cemetary,cemetary,utility pole,,41.50554657,-81.6914978,"Cleveland, OH",Nov,2020
https://www.fox6now.com/news/swastika-found-at-michigan-cemetery-where-wwii-soldiers-are-buried,6/14/19,Jun-2019,Jackson,MI,Local News,vandalism,,,,,,,no,unidentified,cemetary,cemetary,,,42.2474556,-84.40884399,"Jackson, MI",Jun,2019
https://www.maristcircle.com/home/2020/9/20/campus-bench-defaced-swastika,9/8/2020,Sept-2020,Poughkeepsie,NC,Student Newspaper,antisemitic-vandalism,,,symbol-of-hate,,,,no,cement,college campus,college,public bench,,41.70000076,-73.93000031,"Poughkeepsie, NY",Sept,2020
https://www.ricethresher.org/article/2017/02/willys-statue-vandalized-with-swastika,2/3/17,Feb-2017,Houston,TX,Student Newspaper,vandalism,,,,,"TRUMP, @TX2againsttrump",,no,chalk,college campus,college,public sculpture,https://s3.amazonaws.com/media.rce/1914_willy_grafitti_this_is_photo_from_fbf.jpg,29.76080322,-95.36950684,"Houston, TX",Feb,2017
https://www.kcur.org/education/2017-08-15/this-is-a-hate-crime-swastika-drawn-on-avila-university-campus,8/14/17,Aug-2017,Kansas City,MO,Local News,hate-crime,,,,,,,no,chalk,college campus,college,exterior urban wall,,39.09979248,-94.57855988,"Kansas City, MO",Aug,2017
https://thetech.com/2017/11/09/standing-up-for-mit,10/25/17,Oct-2017,Cambridge,MA,Student Newspaper,hate-crime,,,,,,,no,chalk,college campus,college,interior wall,,42.36524963,-71.10501862,"Cambridge, MA",Oct,2017
https://www.campusfairness.org/acf-statement-on-the-swastika-found-at-umass-amherst/,10/30/19,Oct-2019,Amherst,MA,Non-profit Website,antisemitic-incident,,,,,,,no,chalk,arts center,college,,,42.3758049,-72.51987457,"Amherst, MA",Oct,2019
http://www.sentinelsource.com/news/local/swastika-found-in-keene-state-dorm-bathroom/article_88f41c8c-be74-5ece-aef0-423ad1d302b8.html,11/21/16,Nov-2016,Keene,NH,Local News,graffiti,,,,,,,No,ash,college campus,college,bathroom,https://bloximages.chicago2.vip.townnews.com/sentinelsource.com/content/tncms/assets/v3/editorial/3/b6/3b6f7047-4b0c-5842-bcd7-a7c5178506cd/583492e64242b.image.jpg,42.9343338,-72.27920532,"Keene, NH",Nov,2016
http://dailyorange.com/2019/12/suny-esf-finds-drawing-may-include-swastika/,12/5/19,Dec-2019,Syracuse ,NY,Local News,drawing,,,,,,,no,chalk,lounge,college,chalkboard,,43.04794312,-76.14744568,"Syracuse, NY",Dec,2019
http://www.chicagotribune.com/suburbs/river-forest/news/ct-rfl-dominican-swastika-tl-0202-20170124-story.html,1/11/17,Jan-2017,River Forest,IL,Local News,symbol-of-hate and bigotry,,,,,,,No,chemical fluid,college campus,college,dorm hallway,,41.89404678,-87.81638336,"River Forest, IL",Jan,2017
https://www.algemeiner.com/2016/04/04/swastika-sprayed-on-jewish-fraternity-party-house-at-brandeis-university/,4/1/16,Apr-2016,Waltham,MA,Local News,graffiti,Jewish Community,,,,,male genitalia,No,condensation,college campus,college,house window,,42.37617111,-71.23899078,"Waltham, MA",Apr,2016
https://www.stanforddaily.com/2017/02/15/police-blotter-feb-7-feb-14/,2/12/17,Feb-2017,Palo Alto,CA,Student Newspaper,none,Black American Community,,,,"KKK, N*****",,no,condensation,college campus,college,automobile,,37.44510269,-122.16036224,"Palo Alto, CA",Feb,2017
https://www.jconline.com/story/news/college/2017/09/28/tables-found-arranged-into-swastika-purdue-honors-college/711839001/,9/16/17,Sep-2017,West Lafayette,IN,National News,none,,,,,,,no,desks,college campus,college,Honors College,,40.45475388,-86.91569519,"West Lafayette, IN",Sep,2017
https://thegrio.com/2020/04/26/black-south-carolina-students-racist-zoombomb/,4/24/20,Apr-2020,Columbia,SC,Online Magazine,none,Black American Community,Non-White,,,,,no,digital image,zoom meeting,college,zoom,,34.00928497,-81.03709412,"Columbia, SC",Apr,2020
https://www.koco.com/article/hacker-puts-n-word-swastika-on-screen-during-ocus-virtual-graduation-ceremony/32427103#,5/9/20,May-2020,Oklahoma City,OK,Local News,racist-slurs,Black American Community,,,,N*****,,no,digital image,virtual graduation,college,online,,35.46849442,-97.52126312,"Oklahoma City, OK",May,2020
http://www.chicagotribune.com/suburbs/river-forest/news/ct-rfl-dominican-swastika-tl-0202-20170124-story.html,10/10/16,Oct-2016,River Forest,IL,Local News,symbol-of-hate-and-bigotry,,,,,,male genitalla,No,dirt,automobile,college,automobile,,41.89404678,-87.81638336,"River Forest, IL",Oct,2016
http://www.dbknews.com/2017/09/17/university-of-maryland-police-swastika-hate-bias-incident/,9/13/17,Sep-2017,College Park,MD,Student Newspaper,graffiti,,,,,,,no,dirt,college campus,college,balcony,,38.98719406,-76.94599915,"College Park, MD",Sep,2017
http://fox59.com/2016/03/08/swastikas-found-at-uindy-purdue-university/,3/8/16,Mar-2016,Indianapolis,IA,Local News,vandalism,,,,,,devil's pitchfork,No,stone,college campus,college,memorial,,41.39704132,-92.43347931,"Indianapolis, IA",Mar,2016
http://www.huffingtonpost.com/entry/swastika-gender-neutral-bathroom_us_58b089b2e4b060480e07c083,2/24/17,Feb-2017,Providence,RI,National News,antisemitic-incident,,,,,,,no,feces,college campus,college,bathroom,,41.82446289,-71.41275024,"Providence, RI",Feb,2017
https://www.cleveland19.com/2018/12/19/kent-state-investigating-swastika-feces-found-campus-building/,12/16/2018,Dec-2018,Kent,OH,Local News,vandalism,,,,,,,no,feces,campus building,college,window,,41.15483475,-81.35638428,"Kent, OH",Dec,2018
https://www.paloaltoonline.com/news/2017/09/11/swastika-like-symbol-drawn-outside-stanford-residence-hall,9/6/17,Sep-2017,Palo Alto,CA,Online Magazine,swastika-like-symbol,,,,,,,no,grease,college campus,college,exterior urban wall,,37.44510269,-122.16036224,"Palo Alto, CA",Sep,2017
https://news.stanford.edu/2017/10/25/police-investigating-appearance-swastika-campus-building/,10/21/17,Oct-2017,Palo Alto,CA,Student Newspaper,none,,,,,,,no,grease pencil,college campus,college,pillar,,37.44510269,-122.16036224,"Palo Alto, CA",Oct,2017
https://themacweekly.com/75110/news/another-swastika-found-as-discussion-around-response-to-hate-continues/,10/11/18,Oct-2018,Saint Paul,MN,Student Newspaper,hate-speech,,,,,,,no,ink,basement of school newspaper office,college,costume,,44.94371796,-93.09428406,"St Paul, MN",Oct,2018
https://www.alligator.org/news/campus/article_ff050240-e3e2-11e6-a7c8-d7f0f011fd11.html,1/26/17,Jan-2017,Gainesville,FL,Student Newspaper,social-experiment,,,,,,,no,ink,college campus,college,armband,http://bloximages.chicago2.vip.townnews.com/alligator.org/content/tncms/assets/v3/editorial/3/cf/3cf66992-e445-11e6-a911-3b70524053b2/588ac622edacd.image.jpg?resize=300%2C200,29.65197563,-82.32501984,"Gainesville, FL",Jan,2017
https://www.wuft.org/news/2017/01/27/while-activists-gather-at-rally-to-commemorate-auschwitz-liberation-another-swastika-wearer-spotted/,1/27/17,Jan-2017,Gainesville,FL,Local News,symbols-of-hate,,,,,,,no,ink,college campus,college,jacket,https://www.wuft.org/news/files/2017/01/swastika-liberation-rally-e1485548588109-768x1024.jpg,29.65197563,-82.32501984,"Gainesville, FL",Jan,2017
https://www.usnews.com/news/best-states/rhode-island/articles/2017-03-02/swastika-burned-into-sign-along-bike-path-in-barrington,2/24/17,Feb-2017,Cincinnati,OH,Local News,Nazi-flag,,,,,,,yes,ink,college campus,college,flag,,39.10369873,-84.51361084,"Cincinnati, OH",Feb,2017
https://www.timesofisrael.com/us-white-supremacist-leader-shouted-down-at-florida-college-speech/,10/19/17,Oct-2017,Gainesville,FL,National News,none,,,,,,,yes,ink,college campus,college,t-shirt,https://static.timesofisrael.com/www/uploads/2017/10/063_863152126-640x400.jpg and https://static.timesofisrael.com/www/uploads/2017/10/AP17292733588662.jpg,29.65197563,-82.32501984,"Gainesville, FL",Oct,2017
